,x,y
196,-103.04656738761746,20.66598792734042
197,-103.42880102252094,20.735328102924875
198,-103.43034963993837,20.735374009573455
200,-103.42928717427368,20.741079786522384
201,-103.36851233314566,20.743847465639575
202,-103.4564182169566,20.740549473424206
203,-103.4273286328284,20.74115745174845
204,-103.4274239835061,20.74116876116503
205,-103.44012525922967,20.73610284768205
206,-103.36887375850688,20.74390506139738
207,-103.42917604055779,20.735456791609906
208,-103.3689711442023,20.743934731665334
209,-103.36877738255309,20.74386946069196
211,-103.42748949243536,20.741190051073936
213,-103.42222222965701,20.74206373288548
214,-103.369380648799,20.743934966713155
215,-103.42934536645984,20.74111410350506
216,-103.42687120434107,20.741213393131172
217,-103.49497743759696,20.73869933061881
218,-103.49610564520822,20.738688129685848
219,-103.49692872443707,20.738664905152525
220,-103.45738668344394,20.743612182765215
221,-103.50353039959953,20.738378436093782
222,-103.37781393311813,20.737648838599906
223,-103.50311584629473,20.7384078170721
224,-103.76054182877627,20.67465916711227
225,-102.79641580123311,20.629571379955205
226,-102.53391215438008,20.634152615779563
227,-102.63919941970947,20.64853069021556
228,-102.83590723086947,20.74717301269246
229,-102.8412191552963,20.748444793199752
230,-102.84074889532319,20.74842626962296
231,-104.41574584359074,20.74471694371115
232,-104.41637213194555,20.744744697435284
233,-104.35388621374105,20.74205107646405
234,-104.38516746535234,20.741832301179347
235,-104.3150300824616,20.723330900246296
236,-104.29023746155504,20.716194658386257
237,-104.30780548992792,20.720423250148396
238,-104.34940462314823,20.718083150148583
239,-104.29277505098189,20.71612311344398
240,-104.30274000459376,20.72051155580877
241,-104.29260768242511,20.716177798224855
243,-104.30655754249528,20.719888398819112
244,-104.29352460548647,20.716123556418733
245,-104.28972937510747,20.71616696794423
246,-104.3110126933922,20.723291999831
247,-104.18185083316614,20.72007953790359
248,-104.31006192068492,20.723314257052117
249,-104.30803341191277,20.72047360462508
251,-104.34781723165266,20.735711872743504
252,-104.42038790542836,20.729966897049355
253,-104.42840927730539,20.735508701018365
254,-104.34797060363717,20.73573706806245
255,-104.41840753802967,20.733606124467048
256,-104.3475777520099,20.735727711350894
259,-104.44977617112711,20.728188109339914
260,-104.46373925104523,20.728652907376592
261,-104.45008532294149,20.728224812962058
262,-104.46436881717666,20.728662417773265
263,-104.44898641337164,20.728192204596272
264,-104.33364330215029,20.73137270001928
265,-104.34142117095257,20.734062207653544
266,-104.42608407537698,20.735556596533172
267,-104.33486328750735,20.73136927374519
268,-104.33565657159124,20.731344846851833
269,-102.67562737094997,20.651994183221717
270,-104.52479650913648,20.73546603983785
271,-103.64546179408254,20.6425270172674
