dia,week_day,mes,Horacerr,mun,calle,cruce,Colonia,tipo_acc,causa,tipo_auto,sexo,edad,marca_mal,marca_bien,submarca,modelo,ruta,cinturon,alcohol,monto,herido,Consec,conse_g,conse_m,conse_sem,Id,x,y,_merge,lat,long,,,,,
1,miercoles,mayo,12:01 A 14:00,zapopan,1 DE MAYO COL ARENALES TAPATIOS,1 DE MAYO PRIV,ARENALES TAPATIOS,CHOQUE,VIRAR  INDEBIDAMENTE,AUTOMOVIL,masculino,30 A 39,PEUGEOT,PEUGEOT,301,2019,,,,19000,,,1,4272,20687,56,,,master only (1),,,,,,,
1,sabado,junio,02:01 A 04:00,zapopan,GUADALUPE AV,MIRADOR DEL VALLE,ARENALES TAPATIOS,CONTRA OBJETO FIJO,SIN ELEMENTOS,AUTOMOVIL,N.D,N.D,RENAULT,RENAULT,CLIO,2003,,2,,,,55,55,127,21011,57,660411.3245,2282217.253,matched (3),,,,,,,
26,miercoles,junio,00:01 A 02:00,zapopan,PASEO DE LA PRIMAVERA,PLOMO COL ARENALES TAPATIOS,ARENALES TAPATIOS,CONTRA OBJETO FIJO,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,NISSAN,NISSAN,TSURU,1996,,2,,,,3289,3300,3348,24215,58,659578.6306,2282535.299,matched (3),,,,,,,
9,domingo,junio,22:01 A 24:00,zapopan,GUADALUPE AV,MARIANO OTERO AV,ARENALES TAPATIOS,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,N.D,MAZDA,MAZDA,CX3,N.D.,,,,,,,,119,24866,59,660381.1483,2281629.999,matched (3),,,,,,,
27,jueves,junio,04:01 A 06:00,zapopan,BASE AEREA MILITAR AV,XV REGION MILITAR,ARMONIA HABITAT,CONTRA OBJETO FIJO,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,VOLKSWAGEN,VOLKSWAGEN,SEDAN,2001,,2,,,,3370,3381,3429,24296,60,661887.6542,2294826.263,matched (3),,,,,,,
24,lunes,junio,18:01 A 20:00,zapopan,FEDERALISMO CALZ,GUADALUPE VICTORIA COL ARROYO HONDO,AROYO HONDO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,femenino,40 A 49,TOYOTA,TOYOTA,SIENNA,2011,,2,,,,3176,3186,3234,24102,61,671961.7197,2294392.062,matched (3),,,,,,,
29,sabado,junio,20:01 A 22:00,zapopan,GUADALUPE VICTORIA COL ARROYO HONDO,JUAN ALVAREZ,ARROYO  HONDO,CONTRA OBJETO FIJO,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,NISSAN,NISSAN,TSURU,2000,,2,,,,3599,3611,3657,24520,62,671668.2105,2294434.604,matched (3),,,,,,,
26,sabado,enero,08:01 A 10:00,zapopan,CARRETERA A SALTILLO,FEDERALISMO CALZ,ARROYO HONDO,CHOQUE,VIRAR  INDEBIDAMENTE,CAMIONETA DE CARGA,masculino,30 A 39,NISSAN,NISSAN,NP300,2016,,,,19024,,,117,3993,3991,63,672162.4316,2294693.573,matched (3),,,,,,,
17,domingo,marzo,22:01 A 24:00,zapopan,NIÑO ARTILLERO,PIPILA,ARROYO HONDO,CONTRA VEHICULO ESTACIONADO,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,20 A 29,GENERAL MOTORS,GENERAL MOTORS,ASTRO VAN,1995,,,,,,,,4197,12686,64,672663.704,2294187.767,matched (3),,,,,,,
6,sabado,abril,10:01 A 12:00,zapopan,FEDERALISMO CALZ,GONZALEZ GALLO COL ARROYO HONDO,ARROYO HONDO,CONTRA OBJETO FIJO,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,FORD,FORD,MAVERICK,1971,,1,,,,,785,964,13713,65,671879.403,2294128.032,matched (3),,,,,,,
